code,id,market,flag
688177,1,SH,True
688176,1,SH,True
688175,1,SH,True
688173,1,SH,True
688172,1,SH,True
688171,1,SH,True
688170,1,SH,True
688169,1,SH,True
688168,1,SH,True
688167,1,SH,True
688166,1,SH,True
688165,1,SH,True
688163,1,SH,True
688162,1,SH,True
688161,1,SH,True
688160,1,SH,True
688159,1,SH,True
688158,1,SH,True
688157,1,SH,True
688156,1,SH,True
688155,1,SH,True
688153,1,SH,True
688152,1,SH,True
688151,1,SH,True
688150,1,SH,True
688148,1,SH,True
688147,1,SH,True
688146,1,SH,True
688143,1,SH,True
688141,1,SH,True
688139,1,SH,True
688138,1,SH,True
688137,1,SH,True
688136,1,SH,True
688135,1,SH,True
688133,1,SH,True
688132,1,SH,True
688131,1,SH,True
688130,1,SH,True
688129,1,SH,True
688128,1,SH,True
688127,1,SH,True
688126,1,SH,True
688125,1,SH,True
688123,1,SH,True
688122,1,SH,True
688121,1,SH,True
688120,1,SH,True
688119,1,SH,True
688118,1,SH,True
688117,1,SH,True
688116,1,SH,True
688115,1,SH,True
688114,1,SH,True
688113,1,SH,True
688112,1,SH,True
688111,1,SH,True
688110,1,SH,True
688109,1,SH,True
688108,1,SH,True
688107,1,SH,True
688106,1,SH,True
688105,1,SH,True
688103,1,SH,True
688102,1,SH,True
688101,1,SH,True
688100,1,SH,True
688099,1,SH,True
688098,1,SH,True
688097,1,SH,True
688096,1,SH,True
688095,1,SH,True
688093,1,SH,True
688092,1,SH,True
688091,1,SH,True
688090,1,SH,True
688089,1,SH,True
688088,1,SH,True
688087,1,SH,True
688086,1,SH,True
688085,1,SH,True
688084,1,SH,True
688083,1,SH,True
688082,1,SH,True
688081,1,SH,True
688080,1,SH,True
688079,1,SH,True
688078,1,SH,True
688077,1,SH,True
688076,1,SH,True
688075,1,SH,True
688073,1,SH,True
688072,1,SH,True
688071,1,SH,True
688070,1,SH,True
688069,1,SH,True
688068,1,SH,True
688067,1,SH,True
688066,1,SH,True
688065,1,SH,True
688063,1,SH,True
688062,1,SH,True
688061,1,SH,True
688060,1,SH,True
688059,1,SH,True
688058,1,SH,True
688057,1,SH,True
688056,1,SH,True
688055,1,SH,True
688053,1,SH,True
688052,1,SH,True
688051,1,SH,True
